phase,metal,config,stoich,exclude,z,T1,spec,sigt,sigt_1sm,sigt_1sp,sigt_10,sigt_20,sigt_80,sigt_90
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 99900, 100)",3.402285,-0.4189418,7.106303,-1.06758,-0.07992529,6.450091,8.16578
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 99800, 200)",2.546088,-0.2601876,5.674226,-0.5138077,-0.09270073,4.569388,7.325985
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 99700, 300)",1.993052,-0.1982269,3.492007,-0.3900996,-0.1558837,2.995107,5.236481
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 99500, 500)",1.543533,-0.208377,3.114336,-0.3012892,-0.1296288,2.553096,4.560207
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 99000, 1000)",1.785533,0.1069816,3.547315,-0.04752522,0.1486198,3.125225,4.829407
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 98000, 2000)",1.506858,0.1493612,2.573913,-0.007443528,0.2347089,2.402227,3.466819
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 97000, 3000)",1.426853,0.1422729,2.435937,0.04269249,0.2657585,2.301351,3.303257
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 95000, 5000)",1.361442,0.0914175,2.927127,-0.07050726,0.1986427,2.664304,3.447051
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 90000, 10000)",1.145938,0.1233618,2.125902,0.01623307,0.2301887,1.83045,3.004173
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 80000, 20000)",1.025463,0.2256086,2.090668,0.09847418,0.2881954,1.897039,2.207139
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 70000, 30000)",1.304118,0.1849405,2.154017,0.0332303,0.4559291,2.07644,2.671875
beta,Na,120_4,120,4,z_all,300,"(0, 1000, 50000, 50000)",1.687095,0.03173476,3.059018,-0.03452333,0.08924045,2.981905,3.185641
beta,Na,120_4,120,4,z_all,300,"(0, 500, 99900, 100)",3.308725,-0.1503498,6.933948,-0.7107023,0.1356958,5.436391,7.95333
beta,Na,120_4,120,4,z_all,300,"(0, 100, 99900, 100)",3.053358,-0.1536215,6.395536,-0.6101602,0.03737466,5.296102,8.142053
beta,Na,120_4,120,4,z_all,600,"(0, 100, 99900, 100)",43.14489,3.087743,83.85257,-0.9967626,5.97413,73.09388,108.4081
beta,Na,120_4,120,4,z_all,1000,"(0, 100, 99900, 100)",195.9891,23.48334,370.932,5.523106,34.60015,310.3317,468.6893
beta,Na,120_4,120,4,z_all,300,"(0, 200, 99900, 100)",2.906428,-0.1955574,6.060645,-0.6132941,0.01898063,4.973669,7.722611
beta,Na,120_4,120,4,z_all,600,"(0, 200, 99900, 100)",43.45321,4.112914,83.63917,0.3367553,6.985001,72.14777,104.6655
beta,Na,120_4,120,4,z_all,1000,"(0, 200, 99900, 100)",208.1705,28.83137,377.0102,7.757864,37.93797,324.8743,482.2509
beta,Na,120_4,120,4,z_all,600,"(0, 500, 99900, 100)",44.84014,4.956154,93.473,-0.7512984,7.287744,78.23226,122.5793
beta,Na,120_4,120,4,z_all,1000,"(0, 500, 99900, 100)",195.5693,28.20883,316.8596,0.6909019,35.47094,277.2928,451.6338
beta,Na,120_4,120,4,z_all,300,"(0, 100, 99950, 50)",4.139393,-0.2823544,8.315478,-0.8130064,0.03868445,7.224789,11.19161
beta,Na,120_4,120,4,z_all,600,"(0, 100, 99950, 50)",49.13619,3.982705,95.60055,-0.8610529,7.20534,79.69422,123.8652
beta,Na,120_4,120,4,z_all,1000,"(0, 100, 99950, 50)",205.6075,20.87295,388.0583,1.457762,35.18657,341.0315,498.6968
beta,Na,120_4,120,4,z_all,300,"(0, 50, 99950, 50)",4.139786,-0.2694076,8.312481,-0.8151163,0.0545177,7.212347,11.11686
beta,Na,120_4,120,4,z_all,600,"(0, 50, 99950, 50)",47.1759,3.811046,92.13002,-1.130386,6.543455,77.2346,117.4436
beta,Na,120_4,120,4,z_all,1000,"(0, 50, 99950, 50)",199.4306,17.71889,384.0004,1.234019,30.14591,334.9834,496.1386
beta,Na,120_4,120,4,z_all,300,"(0, 200, 99800, 200)",2.327863,-0.06529596,4.555912,-0.4442673,0.1238079,4.067283,6.168474
beta,Na,120_4,120,4,z_all,600,"(0, 200, 99800, 200)",40.47659,2.628624,82.43959,-0.1280582,5.379216,68.58287,102.356
beta,Na,120_4,120,4,z_all,1000,"(0, 200, 99800, 200)",205.7442,20.07945,406.7376,-0.7401389,30.58656,364.7494,505.9897
beta,Na,120_4,120,4,z_all,300,"(0, 500, 99500, 500)",1.576386,-0.04521625,2.951933,-0.2411469,0.1102943,2.509732,3.852323
beta,Na,120_4,120,4,z_all,600,"(0, 500, 99500, 500)",39.17148,3.290387,76.18754,0.496674,4.69086,58.32611,91.89657
beta,Na,120_4,120,4,z_all,1000,"(0, 500, 99500, 500)",202.7163,20.36367,372.7718,-1.466963,28.04266,335.2252,511.0398
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 99000, 1000)",39.03577,3.481095,76.48587,-0.2347496,5.243867,61.17642,99.04
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 99000, 1000)",223.3165,19.9124,417.7835,-0.07130794,21.99672,355.4141,514.0956
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 98000, 2000)",40.14997,3.777993,66.28169,1.667135,5.923411,61.04613,95.29912
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 98000, 2000)",202.927,18.97602,343.1392,-5.254263,26.95041,315.5303,460.1153
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 95000, 5000)",37.17836,7.874365,68.82045,3.588922,10.19462,62.23999,89.15787
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 95000, 5000)",179.3987,4.136763,386.973,-7.662476,26.75248,362.6926,415.0514
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 90000, 10000)",39.52629,3.627368,79.08104,0.6922945,4.615524,71.1496,92.81328
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 90000, 10000)",149.2624,5.697888,285.1812,-8.545643,14.94765,262.6123,347.6343
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 80000, 20000)",46.43286,3.330476,100.5539,1.004206,5.320222,93.05158,114.282
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 80000, 20000)",163.0703,1.39861,416.1504,-12.77075,12.99942,330.3244,447.79
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 70000, 30000)",53.90086,0.4504648,112.2761,-0.3125997,2.375626,101.7745,131.0428
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 70000, 30000)",181.6635,5.658271,447.4519,-15.12838,8.85729,396.7516,536.8648
beta,Na,120_4,120,4,z_all,600,"(0, 1000, 50000, 50000)",67.45097,6.45047,179.1918,2.147743,7.250641,139.9307,187.8509
beta,Na,120_4,120,4,z_all,1000,"(0, 1000, 50000, 50000)",156.3853,20.03139,372.6734,14.01997,26.29214,349.9252,398.4393
beta,Na,120_4,120,4,z_all,300,"(0, 100, 8000, 2000)",0.6246872,-0.02532944,1.347316,-0.1522421,0.03545862,1.192169,1.59481
beta,Na,120_4,120,4,z_all,600,"(0, 100, 8000, 2000)",20.97283,2.08341,46.6068,-0.7393733,3.269982,35.57976,54.65429
beta,Na,120_4,120,4,z_all,1000,"(0, 100, 8000, 2000)",317.2137,107.7608,583.7497,71.97351,121.7298,447.1363,853.1653
beta,Na,120_M4,120,M4,z_all,300,"(0, 100, 8000, 2000)",4.861171,0.529103,10.5841,0.242867,1.063507,8.559354,12.53042
beta,Na,120_M4,120,M4,z_all,600,"(0, 100, 8000, 2000)",103.8222,-0.6816339,184.3737,-11.71921,4.941565,175.8924,278.8656
beta,Na,120_M4,120,M4,z_all,1000,"(0, 100, 8000, 2000)",554.0669,15.43865,1078.055,-10.70883,41.89591,928.7047,1941.135
beta,Na,120_4,120,4,z_all,300,"(0, 100, 7000, 3000)",0.6532869,-0.01646881,1.65056,-0.2649111,0.02887759,1.371793,1.794201
beta,Na,120_4,120,4,z_all,600,"(0, 100, 7000, 3000)",17.01257,3.479844,31.91545,2.700528,4.262881,29.18009,36.78155
beta,Na,120_4,120,4,z_all,1000,"(0, 100, 7000, 3000)",294.9515,103.8973,461.7014,40.67233,131.0711,349.4137,744.177
beta,Na,120_M4,120,M4,z_all,300,"(0, 100, 7000, 3000)",3.957842,-0.0001971498,9.072428,-0.5143522,0.253114,5.792918,13.31781
beta,Na,120_M4,120,M4,z_all,600,"(0, 100, 7000, 3000)",105.6164,8.697469,207.8285,0.1991661,19.63119,186.5877,271.1692
beta,Na,120_M4,120,M4,z_all,1000,"(0, 100, 7000, 3000)",358.8245,19.06552,793.0872,-11.45182,21.97234,726.1961,1027.951
bdp,Na,symm_1,symm,1,z_all,250,"(0, 100, 8000, 2000)",45.51436,4.250106,76.78187,1.907176,5.0664,73.1837,85.94421
bdp,Na,symm_1,symm,1,z_all,300,"(0, 100, 8000, 2000)",69.15408,2.694866,143.7227,-6.012272,3.418084,123.2421,164.8312
bdp,Na,symm_1,symm,1,z_all,353,"(0, 100, 8000, 2000)",271.9747,50.70254,539.9781,20.4009,71.23178,491.8612,636.4828
bdp,Na,symm_1,symm,1,z_all,423,"(0, 100, 8000, 2000)",185.6892,21.97188,326.9764,-3.63132,34.45774,281.8731,476.7389
bdp,Na,symm_1,symm,1,z_all,500,"(0, 100, 8000, 2000)",460.1136,174.6863,710.0042,152.6669,205.687,649.4894,812.0687
bdp,Na,symm_1,symm,1,z_all,600,"(0, 100, 8000, 2000)",680.5968,7.267393,1739.253,-24.83331,29.0792,1324.751,2638.46
bdp,Na,unsym_0,unsym,0,z_all,250,"(0, 100, 8000, 2000)",1.763425,-0.2872708,2.352187,-0.4432158,-0.1249842,2.022145,4.870393
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 100, 8000, 2000)",13.53096,0.1593181,24.73305,-0.513948,0.2332366,17.1522,62.27644
bdp,Na,unsym_0,unsym,0,z_all,353,"(0, 100, 8000, 2000)",109.0967,21.90133,173.2871,6.712158,25.95867,169.1881,185.8336
bdp,Na,unsym_0,unsym,0,z_all,423,"(0, 100, 8000, 2000)",281.7514,46.54574,605.642,29.12975,55.83567,543.6534,784.7397
bdp,Na,unsym_0,unsym,0,z_all,500,"(0, 100, 8000, 2000)",397.7758,55.3461,840.6634,31.46781,71.01055,729.0846,946.4942
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 100, 8000, 2000)",627.579,121.8792,1259.789,94.41522,171.1538,1201.898,1467.171
bdp,Na,symm_1,symm,1,z_all,250,"(0, 100, 9000, 1000)",40.87854,9.050767,84.84765,2.319012,10.23373,73.98595,96.3599
bdp,Na,symm_1,symm,1,z_all,300,"(0, 100, 9000, 1000)",85.57166,-3.588631,171.5645,-9.006049,1.531175,125.56,254.68
bdp,Na,symm_1,symm,1,z_all,353,"(0, 100, 9000, 1000)",302.9394,36.60547,576.2887,16.35306,42.33881,507.6814,729.1523
bdp,Na,symm_1,symm,1,z_all,423,"(0, 100, 9000, 1000)",245.0432,26.42349,425.8151,3.193487,42.61003,391.9651,513.6501
bdp,Na,symm_1,symm,1,z_all,500,"(0, 100, 9000, 1000)",544.9797,64.08662,984.1582,1.106021,99.44093,837.6985,1179.77
bdp,Na,symm_1,symm,1,z_all,600,"(0, 100, 9000, 1000)",863.3425,12.62039,1883.771,-9.57529,58.93835,1541.244,2743.151
bdp,Na,unsym_0,unsym,0,z_all,250,"(0, 100, 9000, 1000)",2.851485,-0.1202775,5.432149,-0.2795648,0.01718997,5.119876,7.540062
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 100, 9000, 1000)",12.93195,1.18534,24.86194,0.3578989,1.445041,21.83147,29.42758
bdp,Na,unsym_0,unsym,0,z_all,353,"(0, 100, 9000, 1000)",61.50142,10.52989,111.5445,3.166188,16.10671,101.048,139.2833
bdp,Na,unsym_0,unsym,0,z_all,423,"(0, 100, 9000, 1000)",196.6542,15.57171,448.7885,6.107285,26.19338,288.1454,601.9639
bdp,Na,unsym_0,unsym,0,z_all,500,"(0, 100, 9000, 1000)",448.4298,57.97709,873.2067,20.69643,75.32093,747.185,1052.378
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 100, 9000, 1000)",575.2287,86.43306,1044.996,42.74216,110.1466,969.4813,1445.47
bdp,Na,symm_1,symm,1,z_all,250,"(0, 100, 9500, 500)",37.74625,6.388946,72.94311,2.480417,9.570764,63.74566,95.93161
bdp,Na,symm_1,symm,1,z_all,300,"(0, 100, 9500, 500)",110.9043,10.52824,219.8508,3.950073,17.76172,184.4485,284.6679
bdp,Na,symm_1,symm,1,z_all,353,"(0, 100, 9500, 500)",284.5276,45.1925,570.1939,19.7769,54.131,484.3067,690.0941
bdp,Na,symm_1,symm,1,z_all,423,"(0, 100, 9500, 500)",331.5968,16.01222,570.7985,-12.91121,36.99087,534.8791,869.542
bdp,Na,symm_1,symm,1,z_all,500,"(0, 100, 9500, 500)",600.3192,121.6603,1076.298,-3.25406,173.0107,946.1662,1310.759
bdp,Na,symm_1,symm,1,z_all,600,"(0, 100, 9500, 500)",931.6348,59.57221,1894.079,-6.892947,83.11227,1593.494,2295.442
bdp,Na,unsym_0,unsym,0,z_all,250,"(0, 100, 9500, 500)",3.356166,-0.1989201,7.041386,-0.5380624,0.3632209,6.018429,8.660793
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 100, 9500, 500)",9.807451,0.4317929,17.76561,-0.4560507,1.252849,16.2308,21.59104
bdp,Na,unsym_0,unsym,0,z_all,353,"(0, 100, 9500, 500)",46.78524,4.436091,90.0569,2.502931,6.10847,79.88216,114.1993
bdp,Na,unsym_0,unsym,0,z_all,423,"(0, 100, 9500, 500)",189.6111,14.86041,388.488,-1.787733,22.36769,263.5959,674.5905
bdp,Na,unsym_0,unsym,0,z_all,500,"(0, 100, 9500, 500)",434.8021,74.33174,822.8814,27.87626,103.3816,656.081,905.8358
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 100, 9500, 500)",593.6519,77.40794,1158.031,13.5263,97.27688,1075.124,1369.48
bdp,Na,symm_1,symm,1,z_all,250,"(0, 100, 9800, 200)",42.25975,0.6136652,99.56674,-1.341056,2.304296,74.10879,114.0739
bdp,Na,symm_1,symm,1,z_all,300,"(0, 100, 9800, 200)",109.3112,6.382345,235.8559,-4.918302,12.3021,201.0857,307.9344
bdp,Na,symm_1,symm,1,z_all,353,"(0, 100, 9800, 200)",256.0743,26.34108,409.4205,16.19817,34.28247,387.5017,615.6516
bdp,Na,symm_1,symm,1,z_all,423,"(0, 100, 9800, 200)",381.6878,29.86639,839.7027,8.602034,43.78785,705.1481,986.5352
bdp,Na,symm_1,symm,1,z_all,500,"(0, 100, 9800, 200)",547.012,52.00241,1070.97,7.804358,65.92169,1006.779,1458.836
bdp,Na,symm_1,symm,1,z_all,600,"(0, 100, 9800, 200)",865.2848,146.9371,1605.947,35.64843,168.9785,1515.203,1957.637
bdp,Na,unsym_0,unsym,0,z_all,250,"(0, 100, 9800, 200)",4.514772,0.436512,8.970274,0.04742807,0.4959597,7.567069,12.8834
